y	x	lat	lon
4553	12823	35.806034	14.512733
4543	11546	35.921134	-5.409956
5324	15638	26.376147	56.376909
8593	21719	-10.791194	142.474015
12097	21631	-47.36932	167.544815
9737	14903	-25.682104	45.221032
7197	11305	4.274316	-7.52158
12272	8424	-54.749637	-63.802219
8169	9399	-7.477739	-34.767675
7953	6135	-4.4185	-81.349704
5465	4447	22.877214	-110.03735
5657	5951	21.493735	-87.010008
3809	7919	43.42083	-65.652586
2873	4751	50.789263	-128.368311
2089	7751	63.099923	-85.396973
2041	10835	65.506866	-24.541799
7803	14133	-2.946688	32.811012
5625	1291	18.880934	-155.640632
3381	20355	45.478073	141.924065
